num:1, lenth:21653.000000, link:[90000228244291, 90001818205431, 90000219814211, 90000260791121, 5093000], Sequence:[-1, 0, 2, 1, 3] 
num:2, lenth:15133.000000, link:[5448001, 5774430, 4414970, 90001814169670, 90001815436261], Sequence:[-1, 0, 2, 3, 1] 
num:3, lenth:17673.000000, link:[90000995887111, 90001819831191, 90001207868361, 90000246534540, 90000815736620], Sequence:[-1, 0, 2, 3, 1] 
num:4, lenth:21210.000000, link:[90000257248651, 6856421, 90001820989591, 90000788432200, 748039871], Sequence:[-1, 0, 2, 3, 1] 
num:5, lenth:18217.000000, link:[126457161, 90001823082060, 300159781, 1027901541, 6178690], Sequence:[-1, 0, 2, 3, 1] 
num:6, lenth:19332.000000, link:[760905291, 90001077512200, 6830341, 90000828233441, 320928131], Sequence:[-1, 2, 0, 1, 3] 
num:7, lenth:15290.000000, link:[90000891282041, 128572891, 90001598931260, 90000600997141, 90001818714170], Sequence:[-1, 0, 2, 1, 3] 
num:8, lenth:27943.000000, link:[90001207893121, 90001814169631, 1008908141, 90001818229401, 90001957313831], Sequence:[-1, 0, 2, 1, 3] 
num:9, lenth:14746.000000, link:[4898341, 90001953144450, 90001817366430, 90001813366531, 6138741], Sequence:[-1, 2, 0, 1, 3] 
num:10, lenth:17219.000000, link:[90000288301600, 90000229339230, 90000263462211, 6102059640, 320930681], Sequence:[-1, 2, 0, 3, 1] 
num:11, lenth:22310.000000, link:[333169000, 90000623161371, 90001821608901, 4453261, 90000253393931], Sequence:[-1, 0, 2, 1, 3] 
num:12, lenth:18595.000000, link:[90000244744580, 90000255374071, 90001129993751, 90000313333691, 90000975560000], Sequence:[-1, 0, 2, 1, 3] 
num:13, lenth:26966.000000, link:[152544931, 5927541, 5001811531, 6328190, 90001778018060], Sequence:[-1, 2, 0, 1, 3] 
num:14, lenth:18849.000000, link:[90000438306700, 5092943340, 90001816950380, 90002056902251, 90000256519781], Sequence:[-1, 2, 0, 1, 3] 
num:15, lenth:33182.000000, link:[90000401076360, 90000245837031, 90001617839361, 90000810683380, 90001817119710], Sequence:[-1, 2, 0, 1, 3] 
num:16, lenth:20132.000000, link:[6139421, 90000249308761, 400407710, 90001178588420, 90001819610990], Sequence:[-1, 2, 0, 1, 3] 
num:17, lenth:23750.000000, link:[734997650, 5407051, 90001820766401, 90000812746010, 4655011], Sequence:[-1, 2, 0, 3, 1] 
num:18, lenth:17390.000000, link:[4286610, 155886071, 7009720, 90001433122931, 836177761], Sequence:[-1, 0, 2, 1, 3] 
num:19, lenth:20125.000000, link:[328909081, 90000228229231, 748034561, 90001428265841, 445958401], Sequence:[-1, 2, 0, 3, 1] 
num:20, lenth:32683.000000, link:[90001820396960, 1106129081, 6224711, 400402711, 402486421], Sequence:[-1, 0, 2, 3, 1] 
num:21, lenth:20578.000000, link:[333167561, 735076280, 5011742111, 6270590, 5603690], Sequence:[-1, 0, 2, 1, 3] 
num:22, lenth:23493.000000, link:[90001812658000, 782665581, 90000260915050, 6859830, 445959211], Sequence:[-1, 2, 0, 3, 1] 
num:23, lenth:26512.000000, link:[90000272282531, 90001822040411, 90001813696791, 90001823913500, 1116128441], Sequence:[-1, 0, 2, 1, 3] 
num:24, lenth:21809.000000, link:[341670501, 90001818150731, 3928230, 782667061, 90001818240210], Sequence:[-1, 2, 0, 1, 3] 
num:25, lenth:22107.000000, link:[90001625936150, 90001616371181, 90001772393030, 114027410, 6154480], Sequence:[-1, 0, 2, 3, 1] 
num:26, lenth:22190.000000, link:[90001820862930, 90001628286430, 90001067914401, 90000829012090, 6301230], Sequence:[-1, 2, 0, 1, 3] 
num:27, lenth:28947.000000, link:[90000268318310, 4421720, 90001815757651, 90001725316920, 90001812809230], Sequence:[-1, 2, 0, 1, 3] 
num:28, lenth:20074.000000, link:[90000252018200, 6863460, 430243500, 6342080, 90000310793741], Sequence:[-1, 2, 0, 3, 1] 
num:29, lenth:21373.000000, link:[90001434850711, 422362470, 90001816818910, 90001409813180, 90001815016080], Sequence:[-1, 2, 0, 3, 1] 
num:30, lenth:26858.000000, link:[646793790, 6081645021, 746644291, 90002002739120, 679997180], Sequence:[-1, 2, 0, 3, 1] 
num:31, lenth:18532.000000, link:[90001815610831, 1045969991, 1125052570, 90001818161300, 90001816912250], Sequence:[-1, 2, 0, 3, 1] 
num:32, lenth:28708.000000, link:[331424591, 90001843074231, 766488161, 90001936329891, 433236630], Sequence:[-1, 2, 0, 3, 1] 
num:33, lenth:28028.000000, link:[633446410, 90000259220841, 90001819273561, 400404380, 90001820074181], Sequence:[-1, 2, 0, 1, 3] 
num:34, lenth:33045.000000, link:[90001200769620, 333169640, 5447551, 90001799491650, 90000272947510], Sequence:[-1, 2, 0, 3, 1] 
num:35, lenth:26400.000000, link:[90001647098931, 90000351870431, 748039170, 90001437279601, 90000265323290], Sequence:[-1, 0, 2, 1, 3] 
num:36, lenth:27484.000000, link:[90000677883350, 5545650, 90001819578431, 90001814678430, 6360051], Sequence:[-1, 0, 2, 1, 3] 
num:37, lenth:16702.000000, link:[90001817844891, 90001059079690, 735177501, 5467510, 90000257910251], Sequence:[-1, 2, 0, 1, 3] 
num:38, lenth:13078.000000, link:[128550141, 1009090381, 90000897330121, 195711361, 90001675330170], Sequence:[-1, 0, 2, 1, 3] 
num:39, lenth:25845.000000, link:[6354231, 6864101, 5051820460, 90001818956940, 5434640], Sequence:[-1, 2, 0, 3, 1] 
num:40, lenth:20741.000000, link:[1008901590, 877577510, 6918530, 90001820646941, 90000287378270], Sequence:[-1, 2, 0, 3, 1] 
num:41, lenth:29322.000000, link:[90000231741881, 90000253759091, 90001323780520, 90001260036140, 128577691], Sequence:[-1, 0, 2, 1, 3] 
num:42, lenth:24473.000000, link:[90001817078960, 90001814625220, 6079410, 6364761, 132482421], Sequence:[-1, 2, 0, 1, 3] 
num:43, lenth:26012.000000, link:[90000841526410, 90000847267811, 90000575134231, 90000261095501, 175337741], Sequence:[-1, 0, 2, 1, 3] 
num:44, lenth:26867.000000, link:[5421991, 1121384311, 5082085140, 90000574934500, 90001377809240], Sequence:[-1, 2, 0, 3, 1] 
num:45, lenth:27847.000000, link:[90001813984461, 90001815566310, 90001820466760, 90001375529420, 633451960], Sequence:[-1, 0, 2, 1, 3] 
num:46, lenth:18469.000000, link:[6170841, 6314570, 90001483818451, 677420721, 3564481], Sequence:[-1, 2, 0, 1, 3] 
num:47, lenth:26512.000000, link:[90001819463311, 126348000, 633450020, 90001626601421, 6918681], Sequence:[-1, 2, 0, 3, 1] 
num:48, lenth:10449.000000, link:[333169090, 90001942522880, 90001818233641, 90000285640701, 90001211676120], Sequence:[-1, 2, 0, 1, 3] 
num:49, lenth:19521.000000, link:[657090410, 90001210377911, 6795100, 6917021, 90001819462681], Sequence:[-1, 0, 2, 1, 3] 
num:50, lenth:19872.000000, link:[90000257576570, 320929951, 90000890825770, 760905500, 90000922123561], Sequence:[-1, 0, 2, 3, 1] 
num:51, lenth:29770.000000, link:[132482510, 134740631, 90001692675801, 90001824007561, 90000452724510], Sequence:[-1, 0, 2, 1, 3] 
num:52, lenth:26747.000000, link:[90000688811451, 320930450, 90000886154440, 90000815130170, 90001824201420], Sequence:[-1, 2, 0, 3, 1] 
num:53, lenth:28667.000000, link:[627652510, 6629500, 835198800, 155945491, 90000287510691], Sequence:[-1, 0, 2, 1, 3] 
num:54, lenth:19905.000000, link:[5201825610, 90000627872910, 757530310, 258763520, 6249951], Sequence:[-1, 2, 0, 3, 1] 
num:55, lenth:22144.000000, link:[6221300, 90000327153220, 4647501, 490459640, 90000257165500], Sequence:[-1, 0, 2, 3, 1] 
num:56, lenth:23102.000000, link:[90000579063091, 6338811, 90001211392490, 90000593647831, 1106129100], Sequence:[-1, 0, 2, 1, 3] 
num:57, lenth:22582.000000, link:[411720371, 5608060, 90001979703540, 427634540, 6081764611], Sequence:[-1, 2, 0, 1, 3] 
num:58, lenth:24969.000000, link:[90001439922661, 90001208319550, 90001816539950, 7009711, 90000572073331], Sequence:[-1, 2, 0, 3, 1] 
num:59, lenth:17759.000000, link:[815190171, 6632300, 5086640, 6042022951, 6188990], Sequence:[-1, 2, 0, 3, 1] 
num:60, lenth:20384.000000, link:[5041785330, 1121384210, 4071041, 90000257139431, 622377701], Sequence:[-1, 0, 2, 3, 1] 
num:61, lenth:30303.000000, link:[90001436820701, 329953911, 877291211, 90001277367981, 90001618474520], Sequence:[-1, 2, 0, 3, 1] 
num:62, lenth:22501.000000, link:[3618310, 90001277097011, 90000847367210, 1009091700, 835198960], Sequence:[-1, 0, 2, 1, 3] 
